name,recipe_link,ingredients,category,prep-time,budget,review count,rating,difficulty,steps_count
La meilleure recette de pâte à crêpes,https://www.marmiton.org/recettes/recette_pate-a-crepes_12372.aspx,"['rhum', 'beurre', 'huile', 'sucre', 'farine', 'oeufs', 'lait']",crêpe,0,bon marché,882,4.2,facile,5
Gâteau au chocolat fondant rapide,https://www.marmiton.org/recettes/recette_gateau-au-chocolat-fondant-rapide_166352.aspx,"['sucre en poudre', 'farine', 'beurre', 'chocolat pâtissier', 'oeufs']",gâteau,0,bon marché,2070,4.7,très facile,6
Cookies maison,https://www.marmiton.org/recettes/recette_cookies-maison_86989.aspx,"['levure chimique', 'sel', 'chocolat noir', 'farine', 'vanille', 'sucre', 'beurre tendre', 'oeuf']",gâteau,0,bon marché,1196,4.6,facile,6
Gâteau au yaourt,https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx,"['farine', 'sucre semoule', 'levure chimique', 'yaourt nature', 'huile de colza', 'oeufs', 'citron']",gâteau,0,bon marché,2433,4.6,très facile,9
Gaufres faciles et légères,https://www.marmiton.org/recettes/recette_gaufres-faciles-et-legeres_87278.aspx,"['sel', 'beurre', 'sucre', 'farine', 'oeufs', 'lait']",gaufre,0,bon marché,343,4.2,très facile,5
Pancakes faciles et rapides,https://www.marmiton.org/recettes/recette_pancakes-faciles-et-rapides_81518.aspx,"['levure', 'farine', 'huile', 'sucre', 'oeuf', 'lait']",crêpe,0,bon marché,1177,4.8,très facile,7
Galette des rois à la frangipane,https://www.marmiton.org/recettes/recette_galette-des-rois-a-la-frangipane_20147.aspx,"['beurre tendre', 'sucre fin', 'pâtes feuilletées', 'amandes en poudre', 'oeufs', ""jaune d'oeuf""]",galette des rois,0,bon marché,1096,4.7,très facile,6
Tiramisu (recette originale),https://www.marmiton.org/recettes/recette_tiramisu-recette-originale_12023.aspx,"['cacao amer', 'biscuits à la cuillère', 'sucre roux', 'oeufs', 'sucre vanillé', 'mascarpone', 'café']",tiramisu,0,bon marché,2767,4.8,très facile,8
Clafoutis grand-mère aux cerises,https://www.marmiton.org/recettes/recette_clafoutis-grand-mere-aux-cerises_29896.aspx,"['sucre glace', 'sel', 'sucre en poudre', 'farine', 'beurre', 'cerises', 'oeufs', 'lait', 'sucre vanillé']",flan,0,bon marché,760,4.7,très facile,3
Flan pâtissier traditionnel,https://www.marmiton.org/recettes/recette_flan-patissier-traditionnel_15330.aspx,"['vanille', 'maïzena', 'sucre en poudre', 'pâte brisée', 'oeufs', 'lait']",flan,0,bon marché,1243,4.6,très facile,13
Biscuits sablés au beurre,https://www.marmiton.org/recettes/recette_biscuits-sables-au-beurre_31237.aspx,"['beurre', 'farine', 'sucre', 'oeuf', 'sucre vanillé']",gâteau,0,bon marché,269,4.7,très facile,9
Mousse au chocolat facile,https://www.marmiton.org/recettes/recette_mousse-au-chocolat-facile_13585.aspx,"['chocolat noir', 'oeufs', 'sucre vanillé']",mousse,0,bon marché,1354,4.6,très facile,9
Crème pâtissière,https://www.marmiton.org/recettes/recette_creme-patissiere_35195.aspx,"['vanille', 'sucre', 'farine', 'lait', ""jaunes d'oeuf""]",crème,0,bon marché,529,4.9,très facile,5
Fondant au chocolat,https://www.marmiton.org/recettes/recette_fondant-au-chocolat_15025.aspx,"['farine', 'sucre semoule', 'beurre doux', 'chocolat pâtissier', 'oeufs']",gâteau,0,bon marché,1404,4.6,très facile,8
Tarte aux abricots,https://www.marmiton.org/recettes/recette_tarte-aux-abricots_12548.aspx,"['crème fraîche', 'sucre', 'abricot', 'maïzena', 'pâte feuilletée', ""jaunes d'oeuf"", 'semoule', 'lait']",tarte,0,bon marché,104,4.6,très facile,5
Crumble aux pommes,https://www.marmiton.org/recettes/recette_crumble-aux-pommes_15265.aspx,"['sucre semoule', 'beurre', 'farine', 'pomme', 'cannelle', 'glace vanille']",crumble,0,bon marché,328,4.5,très facile,5
Tarte au citron meringuée,https://www.marmiton.org/recettes/recette_the-tarte-au-citron-meringuee_22082.aspx,"['sel', 'sucre semoule', 'beurre doux', 'farine', ""jaunes d'oeuf"", 'eau', 'maïzena', 'sucre semoule', 'citrons', 'oeufs', 'levure chimique', 'sucre glace', ""blancs d'oeuf""]",tarte,0,bon marché,2975,4.7,très facile,24
Pain perdu,https://www.marmiton.org/recettes/recette_pain-perdu_10975.aspx,"['sucre de canne', 'lait', 'oeufs', 'pain']",Pain perdu,0,moyen,360,4.8,moyenne,3
Tarte aux pommes,https://www.marmiton.org/recettes/recette_tarte-aux-pommes_18588.aspx,"['beurre', 'pâte brisée', 'pommes', 'sucre vanillé']",tarte,0,bon marché,502,4.8,facile,8
clafoutis aux abricots,https://www.marmiton.org/recettes/recette_clafoutis-aux-abricots_39421.aspx,"['sel', 'sucre', 'farine', 'beurre', 'abricot', 'oeufs', 'lait']",flan,0,bon marché,238,4.6,très facile,8
Cake à la banane / banana bread (USA),https://www.marmiton.org/recettes/recette_cake-a-la-banane-banana-bread-usa_12042.aspx,"['beurre', 'bananes', 'sel', 'bicarbonate', 'levure chimique', 'sucre', 'farine', 'lait', 'oeufs']",gâteau,0,bon marché,553,4.7,facile,8
Panna cotta,https://www.marmiton.org/recettes/recette_panna-cotta_17991.aspx,"['vanille', 'gélatine', 'sucre', 'crème fraîche liquide']",crème,0,bon marché,752,4.8,très facile,4
Gâteau aux pommes facile,https://www.marmiton.org/recettes/recette_gateau-aux-pommes-facile_13493.aspx,"['farine', 'levure chimique', 'sucre semoule', 'sucre vanillé', 'oeufs', 'huile de colza', 'pommes']",gâteau,0,bon marché,1939,4.7,très facile,5
Tarte aux prunes facile,https://www.marmiton.org/recettes/recette_tarte-aux-prunes-facile_22951.aspx,"['crème fraîche', 'sucre', 'pâte brisée', 'reine-claude', 'oeufs']",tarte,0,moyen,56,4.4,très facile,5
